node,vip,rf_imp,logp,lasso
ALOX5AP,0.381019682,0.000242874,0.13602214,0
ALPP,0.17297291,0.000263435,0.055085784,0
ALX1,0.054656251,0.000264768,0.023501517,0
ALX4,0.357145295,0.007637729,0.39870722,0
AMIGO1,0.36589357,0.002096445,0.142045854,0
AMMECR1,0.306640223,0.001248564,0.162536579,0
AMOT,0.535078582,0.001298423,0.404644307,0
AMOTL2,0.473054091,0.000268309,0.236609897,0
AMPD3,0.212034848,1.38E-18,0.03323705,0
AMT,0.531963269,0.000737469,0.428036634,0
ANAPC11,0.289039238,3.83E-18,0.210797426,0
ANAPC2,0.429734136,0,0.395055053,0
ANK1,0.056289804,1.20E-19,0.001769485,0
ANK3,0.091636715,0.001140772,0.025468392,0
ANKRD1,0.088590687,0.003326658,0.046783368,0
ANKRD10,0.341387806,0.001610886,0.328591445,0
ANKRD11,0.249377187,0.002366425,0.098540515,0
ANKRD23,0.154931853,0.001249833,0.113500012,0
ANKRD28,0.390229973,0.000910724,0.153370372,0
ANKRD29,0.344654892,0.002281149,0.16141038,0
ANKRD33,0.160404303,0,0.023553815,0
ANKRD36,0.067103826,1.20E-19,0.036045182,0
ANKRD36B,0.101379416,0.004824668,0.035137357,0
ANKRD40,0.519633304,1.20E-19,0.262801671,0
ANKRD45,0.598928267,5.39E-19,0.348866544,0
ANKRD46,0.420690768,0.002232313,0.249562368,0
ANKRD53,0.514583523,0.001778185,0.413270757,0
ANKRD55,0.220997791,0.000529572,0.025622895,0
ANKS1A,0.496199813,1.44E-18,0.216267786,0
ANKS6,0.406300867,0.007132227,0.44013378,0
ANP32B,0.592098545,0.022557378,0.517921047,0
ANPEP,0.541366972,0.017359476,0.337021883,0
ANTKMT,0.318775451,0.003108455,0.37218806,0
ANXA1,0.5716818,5.39E-19,0.390128217,0.131746437
ANXA11,0.31229185,0.00318086,0.105276798,0
ANXA5,0.453373664,0.001005784,0.187692188,0
AOC1,0.383325153,1.08E-18,0.306087975,0
AOC2,0.20670549,0.001347198,0.253765384,0
AOC3,0.577629244,0.00055551,0.280991685,0
AP1B1,0.118435684,0.006227646,0.028435227,0
AP1M1,0.179468087,0.001633617,0.03560692,0
AP2B1,0.16420434,5.87E-18,0.056435542,0
AP2M1,0.200603168,0.002924353,0.105102176,0
AP3M1,0.104469761,0.000699183,0.000402005,0
APBB1,0.604845226,0.002355143,0.601220459,0
APBB1IP,0.379174795,0.000287851,0.081062851,0
APCDD1L,0.432731142,0.000267407,0.246291902,0
APEX2,0.131697613,0.000622754,0.018387938,0
APH1A,0.486599276,0.002133649,0.320839476,0
APIP,0.025980999,2.88E-18,0.001928932,0
APOA2,0.113556221,9.59E-19,0.030352159,0
APOA5,0.097628646,0.000512435,0.010384363,0
APOBEC1,0.100246684,0,0.001382658,0
APOBEC3B,0.468812041,0.003080907,0.272557655,0
APOBEC3C,1,0.558289542,0.910224092,0.168443022
APOC1,0.386497494,0.014979252,0.591423045,0
APOC2,0.246539462,0.004945129,0.160491455,0
APOC4,0.193650505,0.000681752,0.031274588,0
APOD,0.299187075,0.001020293,0.126543608,0
APOL2,0.300217593,0.013373667,0.162595964,0
APOL3,0.259337411,0.000252994,0.052380859,0
APPL1,0.389982638,1.92E-18,0.197475058,0
APPL2,0.32385396,0.000521712,0.111476909,0
APRT,0.433724261,5.75E-18,0.436861814,0
AQP10,0.120697117,0,0.413798349,0
AQP12B,0.184172955,0,0.070275337,0
AQP2,0.464849632,0,0.55085272,0
AQP3,0.415460415,0.004507549,0.137745176,0.032218787
AQP7,0.077765818,0.001893345,0.07230172,0
AQP8,0.178287342,0.000419782,0.005920602,0
AQP9,0.330484554,0.005255029,0.320005704,0
ARAF,0.29172088,1.80E-18,0.09967986,0
ARCN1,0.031768736,9.71E-18,0.00746574,0
ARFGAP1,0.425069163,0,0.477868155,0
ARFIP2,0.555537739,0.000528926,0.489346868,0
ARG1,0.078644394,0.000980433,0.022337142,0
ARG2,0.31728041,9.59E-19,0.095667535,0
ARHGAP21,0.189299127,0.000717942,0.042862437,0
ARHGAP29,0.256135705,0.00079159,0.058410435,0
ARHGAP32,0.372268519,6.11E-18,0.281616788,0
ARHGAP45,0.455801965,0.000497456,0.318260688,0
ARHGAP8,0.272549788,0,0.258580584,0
ARHGAP9,0.333271985,0,0.056244921,0
ARHGEF15,0.381910646,0.004397224,0.054424579,0
ARHGEF16,0.400167114,0.001737685,0.312809241,0
ARHGEF28,0.550988388,0.000659658,0.496662395,0
ARHGEF3,0.333052598,0.0014052,0.161395919,0
ARHGEF6,0.356009106,9.59E-19,0.130948406,0
ARHGEF9,0.621803612,0.003462061,0.340648983,0
ARID4B,0.253731959,4.79E-18,0.063723888,0
ARIH2,0.308634004,1.44E-18,0.106468258,0
ARL14EP,0.383594289,5.87E-18,0.219241555,0
